AAPL,Date_AAPL,MSFT,Date_MSFT,GOOGL,Date_GOOGL,TSLA,Date_TSLA
AAPL,,MSFT,,GOOGL,,TSLA,
23.730947494506836,2016-01-04,47.87417984008789,2016-01-04,37.660728454589844,2016-01-04,14.894000053405762,2016-01-04
23.136262893676758,2016-01-05,48.09260177612305,2016-01-05,37.764381408691406,2016-01-05,14.895333290100098,2016-01-05
22.683502197265625,2016-01-06,47.218971252441406,2016-01-06,37.655277252197266,2016-01-06,14.602666854858398,2016-01-06
21.72614860534668,2016-01-07,45.57657241821289,2016-01-07,36.74628829956055,2016-01-07,14.376667022705078,2016-01-07
21.84103012084961,2016-01-08,45.71635055541992,2016-01-08,36.24592971801758,2016-01-08,14.066666603088379,2016-01-08
22.194692611694336,2016-01-11,45.690155029296875,2016-01-11,36.35304260253906,2016-01-11,13.856666564941406,2016-01-11
22.51680564880371,2016-01-12,46.109474182128906,2016-01-12,36.96150588989258,2016-01-12,13.998000144958496,2016-01-12
21.937889099121094,2016-01-13,45.113548278808594,2016-01-13,35.683570861816406,2016-01-13,13.354000091552734,2016-01-13
22.417686462402344,2016-01-14,46.39778137207031,2016-01-14,36.26972579956055,2016-01-14,13.745332717895508,2016-01-14
21.879323959350586,2016-01-15,44.545711517333984,2016-01-15,35.233299255371094,2016-01-15,13.666000366210938,2016-01-15
21.773454666137695,2016-01-19,44.1700553894043,2016-01-19,35.659278869628906,2016-01-19,13.64799976348877,2016-01-19
21.8027400970459,2016-01-20,44.37096405029297,2016-01-20,35.63349151611328,2016-01-20,13.24666690826416,2016-01-20
21.69236183166504,2016-01-21,44.100162506103516,2016-01-21,36.035667419433594,2016-01-21,13.33133316040039,2016-01-21
22.845678329467773,2016-01-22,45.681419372558594,2016-01-22,36.967464447021484,2016-01-22,13.50333309173584,2016-01-22
22.39967155456543,2016-01-25,45.24459457397461,2016-01-25,36.38031768798828,2016-01-25,13.092000007629395,2016-01-25
22.523563385009766,2016-01-26,45.57657241821289,2016-01-26,36.38874435424805,2016-01-26,12.904000282287598,2016-01-26
21.043615341186523,2016-01-27,44.746639251708984,2016-01-27,35.58489227294922,2016-01-27,12.538000106811523,2016-01-27
21.194536209106445,2016-01-28,45.4804801940918,2016-01-28,37.108299255371094,2016-01-28,12.646666526794434,2016-01-28
21.926624298095703,2016-01-29,48.12753677368164,2016-01-29,37.755455017089844,2016-01-29,12.74666690826416,2016-01-29
21.72163963317871,2016-02-01,47.79555892944336,2016-02-01,38.222591400146484,2016-02-01,13.129332542419434,2016-02-01
21.282384872436523,2016-02-02,46.30167770385742,2016-02-02,38.72543716430664,2016-02-02,12.185333251953125,2016-02-02
21.70362091064453,2016-02-03,45.56783676147461,2016-02-03,37.1618537902832,2016-02-03,11.565333366394043,2016-02-03
21.87801742553711,2016-02-04,45.42805862426758,2016-02-04,36.20228958129883,2016-02-04,11.688667297363281,2016-02-04
21.293691635131836,2016-02-05,43.820613861083984,2016-02-05,34.89955139160156,2016-02-05,10.84000015258789,2016-02-05
21.51791000366211,2016-02-08,43.1653938293457,2016-02-08,34.919395446777344,2016-02-08,9.866000175476074,2016-02-08
21.513381958007812,2016-02-09,43.05182647705078,2016-02-09,34.763675689697266,2016-02-09,9.883333206176758,2016-02-09
21.350309371948242,2016-02-10,43.42748260498047,2016-02-10,35.05278396606445,2016-02-10,9.57800006866455,2016-02-10
21.221220016479492,2016-02-11,43.40998840332031,2016-02-11,35.02848815917969,2016-02-11,10.031332969665527,2016-02-11
21.286893844604492,2016-02-12,44.117637634277344,2016-02-12,35.05477523803711,2016-02-12,10.06933307647705,2016-02-12
21.88707160949707,2016-02-16,44.95353698730469,2016-02-16,35.587867736816406,2016-02-16,10.344667434692383,2016-02-16
22.222261428833008,2016-02-17,46.123783111572266,2016-02-17,36.298492431640625,2016-02-17,11.245332717895508,2016-02-17
21.801010131835938,2016-02-18,45.92140579223633,2016-02-18,35.581417083740234,2016-02-18,11.118000030517578,2016-02-18
21.751188278198242,2016-02-19,45.595855712890625,2016-02-19,35.809532165527344,2016-02-19,11.10533332824707,2016-02-19
21.94142723083496,2016-02-22,46.32616424560547,2016-02-22,36.1536865234375,2016-02-22,11.849332809448242,2016-02-22
21.445436477661133,2016-02-23,45.03273010253906,2016-02-23,35.57051086425781,2016-02-23,11.814000129699707,2016-02-23
21.764774322509766,2016-02-24,45.19110870361328,2016-02-24,35.74952697753906,2016-02-24,11.933333396911621,2016-02-24
21.914249420166016,2016-02-25,45.842227935791016,2016-02-25,36.157161712646484,2016-02-25,12.495332717895508,2016-02-25
21.94822120666504,2016-02-26,45.138301849365234,2016-02-26,35.945899963378906,2016-02-26,12.689332962036133,2016-02-26
21.898393630981445,2016-02-29,44.76874923706055,2016-02-29,35.56703567504883,2016-02-29,12.795332908630371,2016-02-29
22.768083572387695,2016-03-01,46.264564514160156,2016-03-01,36.8043098449707,2016-03-01,12.423333168029785,2016-03-01
22.817909240722656,2016-03-02,46.59012222290039,2016-03-02,36.67091369628906,2016-03-02,12.555999755859375,2016-03-02
22.987770080566406,2016-03-03,46.06218719482422,2016-03-03,36.27964782714844,2016-03-03,13.049332618713379,2016-03-03
23.32974624633789,2016-03-04,45.78062057495117,2016-03-04,36.21171188354492,2016-03-04,13.402667045593262,2016-03-04
23.07156753540039,2016-03-07,44.90074157714844,2016-03-07,35.34784698486328,2016-03-07,13.685999870300293,2016-03-07
22.881324768066406,2016-03-08,45.44626998901367,2016-03-08,35.38404846191406,2016-03-08,13.506667137145996,2016-03-08
22.901697158813477,2016-03-09,46.49333953857422,2016-03-09,35.973182678222656,2016-03-09,13.914667129516602,2016-03-09
22.91302490234375,2016-03-10,45.7982292175293,2016-03-10,36.30841827392578,2016-03-10,13.678667068481445,2016-03-10
23.15989112854004,2016-03-11,46.69571304321289,2016-03-11,36.93820571899414,2016-03-11,13.833333015441895,2016-03-11
23.21877098083496,2016-03-14,46.78369903564453,2016-03-14,37.204505920410156,2016-03-14,14.34333324432373,2016-03-14
23.68532943725586,2016-03-15,47.15325927734375,2016-03-15,37.22086715698242,2016-03-15,14.555999755859375,2016-03-15
24.000139236450195,2016-03-16,47.82197570800781,2016-03-16,37.557579040527344,2016-03-16,14.795332908630371,2016-03-16
23.961633682250977,2016-03-17,48.09473419189453,2016-03-17,37.61313247680664,2016-03-17,15.092000007629395,2016-03-17
23.988811492919922,2016-03-18,47.06527328491211,2016-03-18,37.46088790893555,2016-03-18,15.515999794006348,2016-03-18
23.98654556274414,2016-03-21,47.39083480834961,2016-03-21,37.795616149902344,2016-03-21,15.887999534606934,2016-03-21
24.16999626159668,2016-03-22,47.57560729980469,2016-03-22,37.690982818603516,2016-03-22,15.616000175476074,2016-03-22
24.0363712310791,2016-03-23,47.48762512207031,2016-03-23,37.567501068115234,2016-03-23,14.838666915893555,2016-03-23
23.932188034057617,2016-03-24,47.698795318603516,2016-03-24,37.432621002197266,2016-03-24,15.183333396911621,2016-03-24
23.8234806060791,2016-03-28,47.1092643737793,2016-03-28,37.35525894165039,2016-03-28,15.350666999816895,2016-03-28
24.38741111755371,2016-03-29,48.13871765136719,2016-03-29,37.9805908203125,2016-03-29,15.342000007629395,2016-03-29
24.813207626342773,2016-03-30,48.43788528442383,2016-03-30,38.102088928222656,2016-03-30,15.12600040435791,2016-03-30
24.684101104736328,2016-03-31,48.59626770019531,2016-03-31,37.83232116699219,2016-03-31,15.317999839782715,2016-03-31
24.910581588745117,2016-04-01,48.89544677734375,2016-04-01,38.16804885864258,2016-04-01,15.839332580566406,2016-04-01
25.166513442993164,2016-04-04,48.77224349975586,2016-04-04,37.942405700683594,2016-04-04,16.465999603271484,2016-04-04
24.86981773376465,2016-04-05,48.00675582885742,2016-04-05,37.61758804321289,2016-04-05,17.031333923339844,2016-04-05
25.130273818969727,2016-04-06,48.499473571777344,2016-04-06,38.08869552612305,2016-04-06,17.69466781616211,2016-04-06
24.582185745239258,2016-04-07,47.91875076293945,2016-04-07,37.6944580078125,2016-04-07,17.14666748046875,2016-04-07
24.6093692779541,2016-04-08,47.883567810058594,2016-04-08,37.66222381591797,2016-04-08,16.67133331298828,2016-04-08
24.69089698791504,2016-04-11,47.78677749633789,2016-04-11,37.5665168762207,2016-04-11,16.661333084106445,2016-04-11
25.01249885559082,2016-04-12,48.085933685302734,2016-04-12,37.90273666381836,2016-04-12,16.521333694458008,2016-04-12
25.3748722076416,2016-04-13,48.70186233520508,2016-04-13,38.27912902832031,2016-04-13,16.968666076660156,2016-04-13
25.388460159301758,2016-04-14,48.71066665649414,2016-04-14,38.451698303222656,2016-04-14,16.790666580200195,2016-04-14
24.87887954711914,2016-04-15,48.965824127197266,2016-04-15,38.68030548095703,2016-04-15,16.96733283996582,2016-04-15
24.342124938964844,2016-04-18,49.67854690551758,2016-04-18,39.061161041259766,2016-04-18,16.92533302307129,2016-04-18
24.213031768798828,2016-04-19,49.616943359375,2016-04-19,38.494346618652344,2016-04-19,16.4913330078125,2016-04-19
24.262853622436523,2016-04-20,48.91301727294922,2016-04-20,38.42838668823242,2016-04-20,16.6646671295166,2016-04-20
24.000139236450195,2016-04-21,49.0802116394043,2016-04-21,38.68030548095703,2016-04-21,16.55266761779785,2016-04-21
23.934450149536133,2016-04-22,45.5606575012207,2016-04-22,36.58612060546875,2016-04-22,16.916667938232422,2016-04-22
23.798566818237305,2016-04-25,45.85102081298828,2016-04-25,36.806297302246094,2016-04-25,16.788000106811523,2016-04-25
23.633230209350586,2016-04-26,45.26150131225586,2016-04-26,35.97119903564453,2016-04-26,16.916000366210938,2016-04-26
22.154321670532227,2016-04-27,44.821537017822266,2016-04-27,35.77730178833008,2016-04-27,16.764667510986328,2016-04-27
21.477136611938477,2016-04-28,43.90645217895508,2016-04-28,34.96401596069336,2016-04-28,16.513999938964844,2016-04-28
21.23027229309082,2016-04-29,43.880069732666016,2016-04-29,35.10386276245117,2016-04-29,16.05066680908203,2016-04-29
21.20763397216797,2016-05-02,44.531192779541016,2016-05-02,35.42769241333008,2016-05-02,16.1200008392334,2016-05-02
21.556411743164062,2016-05-03,43.80088424682617,2016-05-03,35.13163757324219,2016-05-03,15.48799991607666,2016-05-03
21.332197189331055,2016-05-04,43.880069732666016,2016-05-04,35.27693557739258,2016-05-04,14.837332725524902,2016-05-04
21.245607376098633,2016-05-05,43.941650390625,2016-05-05,35.442569732666016,2016-05-05,14.10200023651123,2016-05-05
21.127126693725586,2016-05-06,44.337608337402344,2016-05-06,35.96177291870117,2016-05-06,14.328666687011719,2016-05-06
21.14307403564453,2016-05-09,44.0560417175293,2016-05-09,36.15766143798828,2016-05-09,13.928000450134277,2016-05-09
21.28662109375,2016-05-10,44.89193344116211,2016-05-10,36.665958404541016,2016-05-10,13.912667274475098,2016-05-10
21.079273223876953,2016-05-11,44.918338775634766,2016-05-11,36.22807693481445,2016-05-11,13.93066692352295,2016-05-11
20.584815979003906,2016-05-12,45.32309341430664,2016-05-12,36.105098724365234,2016-05-12,13.8186674118042,2016-05-12
20.625829696655273,2016-05-13,44.94473648071289,2016-05-13,35.94442367553711,2016-05-13,13.840666770935059,2016-05-13
21.391437530517578,2016-05-16,45.604652404785156,2016-05-16,36.215675354003906,2016-05-16,13.88599967956543,2016-05-16
21.302570343017578,2016-05-17,44.75404357910156,2016-05-17,35.71432113647461,2016-05-17,13.644000053405762,2016-05-17
21.54637908935547,2016-05-18,45.01986312866211,2016-05-18,35.79316329956055,2016-05-18,14.07800006866455,2016-05-18
21.464351654052734,2016-05-19,44.585693359375,2016-05-19,35.472320556640625,2016-05-19,14.347332954406738,2016-05-19
21.6967716217041,2016-05-20,44.85151672363281,2016-05-20,35.78969192504883,2016-05-20,14.685333251953125,2016-05-20
21.97248649597168,2016-05-23,44.32875442504883,2016-05-23,35.56852722167969,2016-05-23,14.414667129516602,2016-05-23
22.307430267333984,2016-05-24,45.71098327636719,2016-05-24,36.35105895996094,2016-05-24,14.52733325958252,2016-05-24
22.699357986450195,2016-05-25,46.180580139160156,2016-05-25,36.602481842041016,2016-05-25,14.638667106628418,2016-05-25
22.879362106323242,2016-05-26,45.97678756713867,2016-05-26,36.54446029663086,2016-05-26,15.008000373840332,2016-05-26
22.865692138671875,2016-05-27,46.3577880859375,2016-05-27,37.07359313964844,2016-05-27,14.869333267211914,2016-05-27
22.754037857055664,2016-05-31,46.96029281616211,2016-05-31,37.13557815551758,2016-05-31,14.881999969482422,2016-05-31
22.435035705566406,2016-06-01,46.827388763427734,2016-06-01,37.11623764038086,2016-06-01,14.637332916259766,2016-06-01
22.266422271728516,2016-06-02,46.49955749511719,2016-06-02,36.908451080322266,2016-06-02,14.597332954406738,2016-06-02
22.311992645263672,2016-06-03,45.888179779052734,2016-06-03,36.491397857666016,2016-06-03,14.599332809448242,2016-06-03
22.473772048950195,2016-06-06,46.18943786621094,2016-06-06,36.203773498535156,2016-06-06,14.711999893188477,2016-06-06
